JOB PROFILE,TOOLS
administrative assistant  ,"salesforce, excel, administrative assistance, sales, clerical, microsoft office, customer support, data entry, sales support', 'quickbooks, administrative assistant, crm, customer service', 'basic, development, excel, management, powerpoint, project, scheduling, security, writer', '(excel over 1 year(s) )', 'telecommuting not available travel not required', 'administrative assistant, software development enviroment, scheduling software,', 'customer service, database, excel, manager, management, outlook, scheduling, security', 'knowledge of microsoft office applications. organization skills are a must with strong attention to details', 'admin assistant"
sales representative  ,"sales rep, sales target, sales metrics, leads, calls, emails', 'sales, rental services"
customer service representative,"tad pgs, inc. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the u.s. federal marketplace, including u.s. government agencies and their prime contractors. wi', 'basic, pc', 'basic, pc', 'analytical skills, call center, consulting, customer service, development, manager', 'analytical skills, call center, consulting, customer service, development, manager', 'print industry, ms tools, publishing software"
java developer  ,"see job description', 'access, analysis, analytical, analytical skills, application, applications, architecture, computer, consulting, data architecture, database, developer, development, engineer, engineering, it, java, manager, management, modeling, oracle, programming, project, quality, sdlc, security, software, software engineer, sql, telecom, testing, web, xml', 'apache, business requirements, consulting, css, developer, development, hadoop, html, http, java, javascript, jquery, linux, management, os x, project, scrum, security, solr, supervision, windows, windows 7', 'contract w2, 12-24 months', 'agile, consulting, developer, development, http, inquire, java, scrum, sdlc', 'core java ,spring, restful web services', 'java, web development, integrated eligibility', 'java, xml, sql; java ee, j2ee', 'core spring cloud-based unit testing', 'java, spring, rest ,web services, jquery', 'brms , java architect , business rule', 'java, spring, web services', 'angular js and gwt, spring, jndi, xml, xslt, rmi, and jdbc, junit, jquery, javascript, ajax, and hibernate', 'java, j2ee, jsp, servlets, xml, xslt, scrum, agile, soa, apis, messaging', 'java, j2ee. developer, programmer, api', 'java', 'java, j2ee, jdk, spring, node.js, glassfish', 'agile, angularjs, database, developer, development, ejb, hardware, j2ee, java, javascript, jquery, jsp, management, oracle, programmer, project, project management, quality assurance, sql, sql server, testing, unix, websphere', 'api development, soa, java/j2ee, web services, object oriented design', 'core java, core, java, svn, bamboo, jms, mq', 'core java, j2ee', 'java, oracle weblogic, oracle soa, bpm development', 'jee web services spring rest esb jboss', 'java developer', 'java developer with some web experience, jboss is a huge plus', 'core java ,weblogic, j2ee, oracle ,sql, spring', 'java development, web services,', 'java, financial services', 'java and python', 'java j2ee', 'key skills are java/j2ee, struts, javascript, jsp,oracle, jquery,spring frameworks,web services, xml jsp, javascript, html sql, multithreading', 'java/j2ee, oracle, web sphere, maven, ant, agile, javascript.', 'java, j2ee, core java, rest, sql', 'j2ee and java technologies, spring, servlet, web services, xml, xslt, soa & ajax', 'java developer', 'struts 2, spring, dojo, css, json, ajax, servlet/jsp, tomcat, apache, linux, java, javascript, python, perl', 'java, spring, ui development. aws and mongodb', 'java, javascript, angularjs, spring', 'rest api, object-oriented design, service oriented architecture, java', 'java, spring, html5, web application development, css, angular,', 'java, spring, ui development. aws and mongodb', 'java, j2ee, rest, spring, json, cloud, agile', 'struts 2, spring, dojo, css, json, ajax, servlet/jsp, tomcat, apache, linux, java, javascript, python, perl', 'java developer', 'java, restful web services, service oriented architecture (soa), azure', 'core java, weblogic, j2ee, oracle, sql', 'java, j2ee, jsp, jsf, struts, junit, jpa, orm, sql, jpql, dhtml, ajax, html, servlets, xml, xsl, oo design, css, spring, hibernate, linux, gof, gangs of four, web services, jdbc', 'java, linux, eclipse, sql, nosql databases', 'java, java script, dojo, html5', 'java,', 'algorithms, apache, cgi, css, database, developer, development, git, html, http, ide, java, javascript, jenkins, libraries, linux, mongodb, mysql, mysql, nosql, oracle, project, security, soap, tdd, telecom, telecommunications, unix, xml', 'java/j2ee restful web services (creating from scratch) oracle 12g mysql jboss json javascript unit/integration/system/performance/security testing continuous integration / continuous development (chef', 'ejb, jsf, hibernate', 'java, swing, development', 'java, perl, script, unix,', 'core java; hibernate; json; jsp; mvc; rest; soap; spring; struts', 'java, angular js', 'linux/unix, j2ee development, fast paced environment, database and application server architecture, test frameworks, junit, web units', 'java, spring, hibernate', 'java', 'java, .net, j2ee, franworks, web services', 'java developer', 'java, sql, oracle, sdlc', 'struts, core java, spring mvc, hibernate and jsf/jsp', 'java developer', 'java developer', 'agile, developer, j2ee, java, javascript, oracle, programming, sql', 'analysis, architecture, developer, development, hardware, j2ee, java, jenkins, jsp, middleware, oracle, plsql, programming, project, research, soap, sql, wsdl, xml, xslt', 'java j2e, spring framework, struts, webservices, mybatis(soap, rest), exposure to angularjs, ext js etc..', 'opsware, ant, dynatrace, splunk, nagios, restful web services', 'ability to obtain public trust mbi, richfaces u, experience in mysql or similar rdbms', ""java, javascript, j2ee, rest api's, jpa, jdbc, oracle, t-sql, hibernate, scrum"", 'java webservices, backbone', 'java developer', 'java, java ee, servlets, jsp/jsf, ejb 2.0 +, jndi, jdbc, jms, junit, maven, orm (jpa, hibernate, ibatis), subversion, soap, xml, xsd ,pl/sql, oracle 11g ,spring framework, spring batch framework', 'java developer, sr. java developer', 'java, j2ee, spring, mybatis', 'java, xml, object-oriented programming, websphere application server, j2ee, rdbms - java, xml, object-oriented programming, websphere application server, j2ee, rdbms', 'java', 'java/ j2ee java, jsp, velocity, jquery, spring mvc, web services, pl/sql, jms, jquery, bootstrap database : oracle or db db2', 'java and spring and sql and json and restful and integration', 'java j2ee html css json jsp spring', 'java, jee, oracle, html, agile, mentoring, support, hibernate, struts, servlets, sql, jacksonville', 'java, j2ee, jsp, servlets, xml, xslt, scrum, agile, soa, apis, messaging', 'apache,tomcat,software development', 'apache,tomcat,software development', 'contract w2', 'analysis, architecture, database, developer, development, engineering, j2ee, java, network, networking, python, software, sql, web', 'java developer', 'experience needed: * 6-10 years of java experience * must have soa experience and jdeveloper * solid experience with oracle application frameworks * good experience in creating technical design do', 'java rest cxf sprint jax json soapui postman', 'java, spring', 'tad pgs, inc. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the u.s. federal marketplace, including u.s. government agencies and their prime contractors. wi', 'tad pgs, inc. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the u.s. federal marketplace, including u.s. government agencies and their prime contractors. wi', 'see job description', 'java, j2ee', 'core java, spring,webservices, oracle, pl/sql', 'j2ee, spring hibernate mysql,agile, aws', 'java/j2ee, oracle, sql, spring, maven, sso, rtc, rlm.', 'spring', 'java, chef, puppet, intellij, nosql', 'core java software engineer sql', 'jse 8 , j2ee 7 , jms, spring integration, restful services, websockets , junit , mockito , linux', '(java over 3 year(s) or j2ee over 3 year(s) ) and(spring or spring framework or java ee or jee ) and(hibernate or jpa ) and(sql ) and (agile ) and (xml or json ) and(soap or rest ) and(apache cxf or', 'java, struts, xml, log4j, html, css, javascript, jquery, ajax, angular, ember, backbone', 'java , python , javascript , osgi, maven, jenkins, git , karaf', 'core java, j2ee, aws, cloud technology, nosql, microservices, odd, ddd, mongodb', 'please refer to job description', 'java', 'sql server integration services (ssis)', 'java developer', 'java', 'java, j2ee, spring, spring mvc', 'java,j2ee,spring,struts, esb', 'java, jira, sproing hibernate, sql, nosql, rest/json, xml, confluence, bamboo, stash, bitbucket, git', 'java, jira, sproing hibernate, sql, nosql, rest/json, xml, confluence, bamboo, stash, bitbucket, git', 'java, j2ee, pm, ecommerce, sql, angularjs', 'java xml sql unix', 'java', 'java, spring, hibernate, apache tomcat, *nix', 'java development, java, j2ee', 'java developer', '1-2 years previous experience working on a mobile platform required, must have demonstrated ability to organize and manage multiple projects successfully', 'java, hibernate, spring, rest, soap, javascript, mvc, webservices, maven. pluses: ajax, soa', 'java, j2ee, ejb, hibernate, sql, oracle', 'java, spring, hibernate', 'java/j2ee ,spring framework, core java , angular js and similar js framework', 'java', 'java ,hibernate ,spring framework ,mysql , continuous integration ,linux ubuntu/debian.', 'j2ee soap rest', 'java, mongodb, spring, restful web services, apis', 'db2,business objects (5+ years),microsoft sql server (5+ years);', 'java developer pos', 'java, spring core, spring mvc, spring security', 'angularjs, jquery, json, javascript, jboss, websphere, j2ee (jms, ejb, servlet/jsp), spring mvc (hibernate)', 'java, j2ee, soap, angular', 'java', 'java, rest api, computer science', 'mysql, spring, aws, java, design patterns, algorithms', 'java', 'bpm, javascript, .net, and html programming.', 'java, spring, hibernate', 'java, c++, linux', 'java developer with spring needed', 'javascript & jquery', 'bpm, javascript, .net, and html programming.', 'java', 'java, oracle, unix, messaging', 'messaging (mq, jms or tibco), java', 'core java, spring, hibernate, mdb, web services, perf tuning, angularjs, jquery', 'solid understanding of the java programming language--with relational db, apache, and tomcat', 'java, j2ee, sql, servlet, jsp, hibernate, mvc, ejb, oracle, struts, ide', 'java, struts, xml, log4j, html, css, javascript, jquery, ajax, angular, ember, backbone', 'java, spring, hibernate, junit, angularjs, aws, restful api.', 'jax-ws, jax-rs, jboss(as7) or apache cxf', 'java j2ee', 'java, unix/linux, mysql', 'java developer, full-stack, contract opportunity, local omaha candidates only', 'java, j2ee', 'java,oracle', 'server-side java, xml,', 'bpm, javascript, .net, and html programming.', 'java, spring, soap services, restful services', 'java,j2ee,rest,soap,spring', 'java, java 8, developer, full stack, angular, groovy', 'java, sql spring to build mvc-based restful web services', 'struts 2, spring, dojo, css, json, ajax, servlet/jsp, tomcat, apache, linux, java, javascript, python, perl', 'java; weblogic; j2ee; sql', 'core java, j2ee', 'java,struts, maven, javascript, jboss,hibernate', 'java, javascript, j2ee, linux, html', 'sql server integration services (ssis)', 'java,healthcare', 'java, spring, fit, restful, web services"
financial analyst  ,"refer to job description', 'trade processing, reconciliation, investments', 'accounting, analysis, analyst, bind, case, development, excel, manager, management, metrics, powerpoint, research, supervision, supervisor', 'collecting & analyzing financial data making recommendations to finance or operating lea accounting, finance, business administration', 'analyst, accounting, reconciliation', 'financial analyst, accounting, audit, excel', 'financial analyst, it project management, budgeting / forecasting, analyze the data and provide reports provide metrics / kpi for the ongoing projects', 'experience as a finance business partner in digital media, content delivery, or film entertainment enterprises"
project manager  ,"mobile device', 'access, analytical, computer, consulting, development, engineering, it, manager, management, project, project management, project manager, telecom', 'access, accounting, analytical, application, applications, computer, consulting, development, it, manager, management, project, project manager, software, supervision, system, systems, telecom', 'contract independent, 1 year', 'agile, pmp knowledge,health care experience', 'project manager; agile; waterfall; sdlc; o365; microsoft office 365', 'mysql, chef, puppet', 'project manager', 'agile software delivery, financial services industry', 'project manager, scrum, csm, agile, kanban, jira, confluence, budget management, stakeholder management', 'project manager, cad, iso 13485, medical device, plm, six sigma', 'project management', 'agile, .net, angular js', 'project manager, pmp, ms project, scrum, agile, ppm', 'accounting, database, development, excel, hardware, jcl, manager, management, metrics, microsoft word, pc, powerpoint, project, project manager, release, sql, testing', 'excel, project manager', '2 to 5 years it project management experience', 'cgmp,project management,documentation', 'strong infrastructure project management experience', 'project manager', 'project manager, project management', 'project manager, logistics, risk, budget, forecast', 'project management, pharma experience', 'business analyst', 'tibco, java,java script, d3 visualization', 'project management, communicating with internal and external stakeholders and vendors', 'project manager, gantt, pharma', 'market risk, project manager, sql, bloomberg', 'pm', 'data center relocation or migration management, project manager, pmp', 'project manager', 'minimum of 2 years experience providing high-level project administrative and management support in a technical capacity.', 'it project management, scrum master, agile, certified scrum master', 'project management, programming, self motivated, superior communication skills', 'project management, pmp, workday', 'project manager', 'experience deploying cisco technologies in projects', 'ssis, oracle pl/sql, windows azure', 'analysis, analytical skills, chemical engineering, civil, environmental, excel, manager, management, mechanical, outlook, powerpoint, project, project manager', 'project management', 'project manager', 'pmp', 'scheduling,tracking, reporting, risk analysis, cost management,change management, public transit', 'powerpoint, ppt, charts, project manager, pm', 'urgent position for you ll { project manager } ll { location : atlanta, ga } ll { duration : 6 months }', 'project, manager', 'project, manager, plm', 'project, manager', 'agile, waterfall, scrum', 'provisioning, billing, service assurance, ops, client, vendors, and other stakeholder', 'rfps, ms project, word, excel, visio, and powerpoint', 'project manager, pmp, pmo, project management, microsoft project, stakeholders, issue management, project team, project, process analyst, tolling, toll, financial services', 'project manager, pmp certification, transportation, tolling industry, budget management, project close-out, work breakdown, scheduling, project life cycle, performance measurement, sdlc', 'project manager, pmp certification, transportation, tolling industry, budget management, project close-out, work breakdown, scheduling, project life cycle, performance measurement, sdlc', 'agile, consulting, manager, management, program manager, project, project manager, scrum, sdlc', 'analytical, analytical skills, development, engineering, excel, manager, management, performance, powerpoint, project, project management, project manager, qa, software, system', 'project manager', 'pm', 'strong java fundamentals with java ee 6 with jquery, servlets, tomcat, web services, xml, css and html', 'infrastructure, applications, networking, change management, vendor management, sharepoint', 'project manager', 'project managent, conveyor, autocad, budgets', 'project manager, system integration, sdlc, qa, client facing, saas, pharma', 'experience with data, database buildout and reporting projects, counterparty credit risk preffered', 'project manager, sdlc, ms office, project planning, waterfall, agile, pbm', 'project manager, pmx, bi, data warehouse, agile', 'project manager, sdlc, ms office, project planning, agile, pbm, pharmacovigilance, phv', '""project manager"", infrastructure, ""intelligent transportation systems"" , implementation, configuration', 'project management experience, pmp', 'project management, pharma experience', 'project manager pmp certified', 'project manager', 'project manager, project coordinator, telecom, network, data center, credit cards', 'project manager', '(project manager over 5 year(s) ) and (infrastructure or system over 3 year(s) or database over 3 year(s) or financial database over 3 year(s) ) and(risk analysis over 3 year(s) )', 'project manager telecom network', 'pmp, gmp', 'project manager, project coordinator, telecom, network, data center, credit cards', 'project manager with airline experience', 'project management, agile, scrum, waterfall, sitecore/content management systems, digital', 'agile, pmp, rally, applications', 'uat pmo', 'project management', 'cerner, acute, behavioral health or bh, pm', 'project manager', 'supply chain,product engineer ,clarity,primavera,ms project,infrastructure,pmp', 'project manager', 'project management,software development methodology, standards, project management, and continuous improvement,oracle 11g, pl/sql, oracle forms 11g, j2ee,wms, oms, e commerce experience,web methods, t', 'project management, developing budgets, process improvement, organizational skills', '(project manager ) and (data warehouse ) and (banking ) and (finance ) and (etl )', 'project manager, agile, ecommerce', 'project manager', 'project manager', 'agile, manager, management, project, project management, project manager', '5 years experience as project manager', 'project management, google apps, microsoft project, google hangouts, gotomeeting', 'project management', 'project manager', 'see job description', 'project management, sas grid', 'project management', 'oracle, pl/sql, html, javascript, obiee', 'coordination, presentation, travel, organisation', 'project manager, pmp', 'project management , pmp ,csm,acp,java ,c,', 'project management (budget, project timelines, resources, risk, status), itil', 'pmp, ms office, csm', 'pmp, project manager', 'it project manager- pmp certified siem phi infrastructure data network security', '(project manager ) and (big 4 ) and (bank )', 'project management, pmp, budgeting', 'project managment lead schedule', 'excel, project manager', 'project manager', 'project management, application migration, cloud', 'infrastructure project management with at least 3 years prior experience.', '10+ yrs project management exp, pharma/life science exp, application dev project experience', 'plan, lead, develop, budgets, schedule, resource planning, cost estimate and projection, monitor project progress, communicate, pmp, visio, hhs', 'e commerce, atg/hybris/magento', 'project management, etl, infrastructure support, application support', 'project manager', 'project server', 'csm, cspo, pmp, c#, project management, agile, waterfall, jira, confluence', 'please email dan cunha at dcunha@encore-c.com for consideration. also please call 617-248-0735', 'pmp, pmbok, agile, scrum, cpic, mis, cis,', 'agile, waterfall, and iterative', 'project manager 10+years in baking only', 'project management, pharma experience', 'project manager, sr. business analyst, client facing, sdlc, pmi, pmp, analysis, business requirements, configuration management, consulting, development, lifecycle, manager, management, project', 'project, management, deliverables, sdlc', 'infrastructure project experience a must; servers, hardware, telecomm, data center; clarity a plus; agile methodology; must be bilingual (spanish)', 'pmp, bi, data warehouse, business intelligence, project plan, resource plan, budget, estimate, agile, sow, risk assessment, ms project, sharepoint, excel, sql server, use case, requirement', 'commercial banking payments card services global payment operations', 'experience managing large complex public sector it system projects, interaction with executive management, knowledge of state of california depts, operations, admin process.', 'project manager, project management ,planning, budgeting, scheduling, pmp,process', 'analysis, project management, reporting', '5+ years of project management, m&a in technology industry experience with a successful track record of managing multiple projects concurrently, pmp certification', 'project management, routers, switches, security, digital certificates, wireless, wan/lan', '10+ years of pm; 5+ years in the financial/banking industry', 'project management, scrum master, amazon, html, sql', 'wealth management, advent apx', 'project management, ecommerce, retail, supply chain management, logistics', 'it project management', 'project manager, pmp, healthcare, kaiser, health', 'project manager, pmp, it, business, documentation"
executive assistant  ,"detail-oriented, ms office, sharepoint, scheduling, event booking', 'admin experience supporting vp or c-level execs; celebrity experience; booking travel; multitask; attention to detail; ms office', 'executive assistant experience, ms office, supporting director level"
maintenance technician  ,
physical therapist  ,
store manager  ,"retail ecommerce storemanager', 'retail ecommerce storemanager"
